,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
43,Toyota Corolla,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,1011000
44,Hyundai Elantra,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,425000
45,Toyota Innova,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,1095000
46,Hyundai Xcent,2014,75000,Diesel,Manual,First,24.4,1120,71.0,5,385000
47,Mahindra Thar,2012,75800,Diesel,Manual,Second,16.55,2498,105.0,6,550000
48,Audi A4,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,2143000
49,Maruti Swift,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5,425000
50,Maruti Swift,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5,330000
51,Maruti Swift,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5,385000
52,Hyundai Grand,2015,54000,Petrol,Manual,Third,18.9,1197,82.0,5,360000
53,Volkswagen Vento,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,399000
54,Renault KWID,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,330000
55,Hyundai i10,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,206999
56,Nissan X-Trail,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,775000
57,Maruti Zen,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,225000
58,Toyota Innova,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,1650000
59,Ford Figo,2010,72000,Diesel,Manual,First,20.0,1399,68.0,5,275000
60,Mercedes-Benz New,2015,58000,Petrol,Automatic,First,11.74,1796,186.0,5,2670000
61,Mercedes-Benz New,2011,65000,Diesel,Manual,Second,15.8,2148,170.0,5,1000000
62,Tata Indica,2016,178000,Diesel,Manual,First,25.0,1396,69.0,5,250000
63,Audi A4,2012,65664,Diesel,Automatic,First,16.55,1968,140.0,5,1350000
64,Honda City,2007,63000,Petrol,Automatic,Second,16.4,1497,78.0,5,185000
65,Maruti Ertiga,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,815000
66,Hyundai Creta,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,1050000
67,Porsche Cayenne,2008,73000,Petrol,Automatic,First,8.5,4806,500.0,5,1450000
68,Mahindra XUV500,2015,55729,Diesel,Manual,First,15.1,2179,140.0,7,965000
69,Hyundai i10,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,348000
70,Nissan Terrano,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,692000
71,Honda Brio,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,646000
72,Audi A6,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,2950000
73,Toyota Innova,2006,230000,Petrol,Manual,Third,12.4,1998,132.0,8,450000
74,Toyota Innova,2012,104000,Diesel,Manual,First,12.8,2494,102.0,7,1175000
75,Maruti Swift,2012,95100,Diesel,Manual,First,22.9,1248,74.0,5,375000
76,Tata Zest,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,450000
77,Honda Amaze,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5,482000
78,Ford Figo,2012,70337,Diesel,Manual,First,20.0,1399,68.0,5,280000
79,Maruti Ritz,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,311000
80,Honda City,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,325000
81,BMW 5,2011,75000,Diesel,Automatic,Second,16.73,1995,218.0,5,1390000
82,Hyundai i10,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,225000
83,Hyundai Grand,2016,16000,Petrol,Manual,First,18.9,1197,82.0,5,575000
84,Honda Amaze,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,500000
85,Toyota Fortuner,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7,1650000
86,Audi A6,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,3958000
87,Ford Ecosport,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,550000
88,Mahindra XUV500,2014,58000,Diesel,Manual,First,15.1,2179,140.0,7,810000
89,Honda Amaze,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,350000
90,Volkswagen Polo,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,279000
91,Hyundai Verna,2010,70002,Diesel,Manual,First,16.2,1493,110.0,5,345000
92,Maruti Wagon,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,445000
93,Volkswagen Polo,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,265000
94,Hyundai i20,2011,78958,Diesel,Manual,Second,23.0,1396,90.0,5,380000
95,Hyundai i20,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,465000
96,Datsun GO,2017,32851,Petrol,Manual,First,19.83,1198,67.0,7,395000
97,Audi A4,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,980000
98,Hyundai i20,2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5,270000
99,Maruti Omni,2010,93850,Petrol,Manual,First,14.0,796,35.0,5,241000
100,Toyota Etios,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,390000
101,Jaguar XF,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,2400000
102,Mahindra XUV500,2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7,575000
103,Hyundai Verna,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,525000
104,Toyota Innova,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,1925000
105,Maruti Eeco,2017,38053,Petrol,Manual,First,15.1,1196,73.0,5,391000
106,Tata Nano,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,215000
107,BMW 3,2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5,2075000
108,Honda Civic,2010,71088,Petrol,Manual,First,13.5,1799,130.0,5,335000
109,Toyota Innova,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,1111000
110,Volvo V40,2014,32700,Diesel,Automatic,First,23.3,1984,150.0,5,2000000
111,Nissan Micra,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,655000
112,BMW 5,2009,128000,Petrol,Automatic,First,10.8,2497,215.0,5,700000
113,Maruti Vitara,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,750000
114,Mercedes-Benz B,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5,1675000
115,Hyundai Verna,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5,1095000
116,Maruti Wagon,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,245000
117,Tata Nano,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,323000
118,Mahindra Scorpio,2014,42000,Diesel,Manual,First,12.05,2179,120.0,8,775000
119,Mercedes-Benz New,2009,28352,Petrol,Automatic,First,11.7,1796,178.0,5,935000
120,Maruti Wagon,2013,89900,CNG,Manual,First,26.6,998,58.16,5,325000
121,Honda CR-V,2007,47700,Petrol,Manual,Second,10.8,2354,152.0,5,525000
122,Volkswagen Vento,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,725000
123,Maruti Ciaz,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,747000
124,Mahindra XUV500,2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7,1325000
125,Maruti Ritz,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,581000
126,Maruti Alto,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,260000
127,Mercedes-Benz SLC,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2,5400000
128,Hyundai Verna,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5,1150000
129,Maruti Alto,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,160000
130,BMW 1,2015,31821,Diesel,Automatic,First,20.58,1995,143.0,5,1722000
131,Honda Jazz,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5,600000
132,Honda Civic,2012,88578,Petrol,Manual,First,13.5,1799,130.0,5,395000
133,Mercedes-Benz New,2014,44965,Diesel,Automatic,First,19.27,2143,170.0,5,1795000
134,Honda Amaze,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,370000
135,Maruti Swift,2016,34204,Petrol,Manual,First,22.0,1197,81.8,5,543000
136,Toyota Fortuner,2012,91235,Diesel,Manual,First,11.5,2982,171.0,7,1349000
137,Chevrolet Beat,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,285000
138,Skoda Rapid,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,475000
139,Maruti Ciaz,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,990000
140,Audi RS5,2013,23000,Petrol,Automatic,First,11.05,2894,444.0,4,3700000
141,BMW 3,2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5,2650000
142,Audi A4,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,2332000
143,Maruti Swift,2016,35000,Diesel,Manual,First,22.9,1248,74.0,5,625000
144,Mercedes-Benz S,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,3000000
145,Skoda Rapid,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,986000
146,Skoda Superb,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,850000
147,Hyundai EON,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,423000
148,Volkswagen Polo,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,350000
149,Datsun GO,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,250000
150,Honda Brio,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,239000
151,Mercedes-Benz B,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,1125000
152,Honda City,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5,711000
153,Toyota Innova,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,1090000
154,Maruti Swift,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,620000
155,Mahindra XUV500,2012,32792,Diesel,Manual,First,15.1,2179,140.0,7,790000
156,Ford Ecosport,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,442000
157,Toyota Fortuner,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7,1350000
158,Volkswagen Vento,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,625000
159,Ford Figo,2010,66123,Diesel,Manual,Second,20.0,1399,68.0,5,210000
160,BMW X5,2015,41000,Diesel,Automatic,First,15.3,2993,258.0,5,4500000
161,Mercedes-Benz New,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,3365999
162,Honda Brio,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,365000
163,Hyundai i10,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,275000
164,Mercedes-Benz GLC,2016,44414,Diesel,Automatic,First,17.9,2143,170.0,5,4250000
165,Hyundai Grand,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,650000
166,Audi A6,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,1900000
167,Volkswagen Vento,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,445000
168,Mini Countryman,2017,8525,Diesel,Automatic,Second,16.6,1998,112.0,5,2300000
169,Hyundai i20,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,835000
170,Audi A6,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,2295000
171,Chevrolet Beat,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,150000
172,Skoda Superb,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,689000
173,Ford Fiesta,2006,216000,Diesel,Manual,Second,17.8,1399,68.0,5,145000
174,BMW 5,2014,51000,Diesel,Automatic,First,22.48,1995,190.0,5,3350000
175,Chevrolet Optra,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,125000
176,Volkswagen Polo,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,420000
177,Renault Lodgy,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,675000
178,Mercedes-Benz E-Class,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5,3200000
179,Maruti Baleno,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,750000
180,Hyundai Verna,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,459999
181,Hyundai i10,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,404000
182,Mahindra Scorpio,2016,56739,Diesel,Manual,First,15.4,1997,120.0,7,1031000
183,Land Rover,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,5576000
184,Ford Figo,2010,120000,Diesel,Manual,First,20.0,1399,68.0,5,260000
185,Maruti Ertiga,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,850000
186,Honda Amaze,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,350000
187,Hyundai i10,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,355000
188,Honda Amaze,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,325000
189,Skoda Laura,2008,113000,Diesel,Manual,First,17.5,1896,106.0,5,450000
190,Renault Duster,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,535000
191,Mahindra NuvoSport,2017,29000,Diesel,Manual,Second,17.45,1493,100.0,7,650000
192,Maruti Vitara,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,900000
193,Hyundai i20,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,600000
194,Skoda Fabia,2009,87459,Petrol,Manual,First,14.7,1390,85.0,5,275000
195,Tata Indigo,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,150000
196,Audi Q3,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,1989999
197,Skoda Octavia,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,1000000
198,Toyota Etios,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,300000
199,Mercedes-Benz B,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,1196000
200,Honda Amaze,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,325000
201,Hyundai Verna,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,475000
202,Renault Duster,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,595000
203,Hyundai Creta,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,815000
204,Maruti Wagon,2016,8500,Petrol,Automatic,First,20.51,998,67.0,5,422000
205,Mercedes-Benz New,2010,30500,Petrol,Automatic,First,11.74,1796,186.0,5,1050000
206,Audi A8,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,4500000
207,Hyundai i10,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,290000
208,Skoda Rapid,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,890000
209,Skoda Superb,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,2600000
210,Hyundai i20,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,822000
211,Honda Amaze,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,350000
212,Maruti Wagon,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5,125000
213,Mahindra Verito,2013,107000,Diesel,Manual,First,21.03,1461,65.0,5,370000
214,Mercedes-Benz New,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5,3940999
215,Maruti Wagon,2013,32000,Petrol,Manual,First,22.5,998,67.04,5,265000
216,Nissan Terrano,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5,892000
217,Mini Cooper,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,3567000
218,Tata Indica,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,85000
219,Chevrolet Beat,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5,332000
220,Volkswagen Polo,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5,360000
221,Maruti Swift,2016,64000,Diesel,Manual,First,22.9,1248,74.0,5,680000
222,Ford Figo,2012,41284,Diesel,Manual,First,20.0,1399,68.05,5,250000
223,Toyota Innova,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,1964000
224,Hyundai Santa,2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,700000
225,Honda City,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5,387000
226,Hyundai i20,2018,14960,Petrol,Manual,First,18.6,1197,81.83,5,627000
227,Mercedes-Benz New,2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5,1812000
228,Chevrolet Beat,2013,74000,Diesel,Manual,First,25.44,936,57.6,5,265000
229,Hyundai i20,2015,56847,Diesel,Manual,First,22.54,1396,88.73,5,720000
230,Toyota Innova,2015,121374,Diesel,Manual,First,12.99,2494,100.6,7,1430000
231,Maruti Ertiga,2013,52000,Diesel,Manual,First,20.77,1248,88.76,7,690000
232,Toyota Innova,2014,118000,Diesel,Manual,First,12.8,2494,102.0,7,1075000
233,Honda City,2016,33915,Petrol,Manual,First,17.8,1497,117.3,5,809000
234,BMW X1,2014,82002,Diesel,Automatic,First,17.05,1995,184.0,5,1850000
235,Hyundai Grand,2017,33000,Diesel,Manual,First,24.0,1120,70.0,5,475000
236,Maruti Ciaz,2016,34000,Diesel,Manual,First,28.09,1248,88.5,5,844999
237,Skoda Rapid,2012,55000,Diesel,Manual,First,20.5,1598,103.6,5,350000
238,Hyundai Accent,2006,160538,Diesel,Manual,First,13.1,1493,82.0,5,180000
239,Volkswagen Polo,2014,60000,Diesel,Manual,Second,19.91,1498,103.6,5,370000
240,Honda Jazz,2017,49575,Petrol,Manual,First,18.7,1199,88.7,5,717000
241,Hyundai i10,2010,83000,Petrol,Manual,First,19.81,1086,68.05,5,175000
242,Hyundai Tucson,2018,51346,Diesel,Automatic,First,16.38,1995,183.0,5,2199000
243,Toyota Innova,2017,43000,Diesel,Manual,First,13.68,2393,147.8,7,1864999
244,Maruti Omni,2011,35000,Petrol,Manual,Third,19.7,796,35.0,5,185000
245,Maruti Swift,2017,27872,Petrol,Manual,Second,20.4,1197,81.8,5,595000
246,Hyundai Grand,2014,16514,Petrol,Manual,First,18.9,1197,82.0,5,375000
247,Maruti Swift,2012,120000,Diesel,Manual,First,22.9,1248,74.0,5,375000
248,Hyundai Verna,2008,143275,Diesel,Manual,First,22.0,1582,126.2,5,260000
249,Hyundai i20,2010,52000,Petrol,Manual,First,17.0,1197,80.0,5,280000
250,Mercedes-Benz GLE,2017,29819,Diesel,Automatic,First,11.57,2987,254.79,5,6129000
251,Mercedes-Benz New,2014,57000,Diesel,Manual,Second,15.8,2148,170.0,5,1800000
252,Maruti Ritz,2014,88500,Diesel,Manual,First,23.2,1248,73.94,5,434999
253,Hyundai Creta,2016,28000,Diesel,Manual,First,19.67,1582,126.2,5,1375000
254,Maruti A-Star,2010,67000,Petrol,Manual,First,19.0,998,66.1,5,200000
255,Renault Duster,2016,26000,Diesel,Manual,First,19.64,1461,108.45,5,1000000
256,Fiat Grande,2010,120000,Diesel,Manual,First,17.8,1248,76.0,5,165000
257,BMW X3,2017,51982,Diesel,Automatic,First,16.55,2993,258.0,5,4577000
258,Hyundai i10,2010,36000,Petrol,Manual,Second,20.36,1197,78.9,5,325000
259,Toyota Innova,2016,47000,Diesel,Manual,First,12.8,2494,102.0,7,1280000
260,Maruti Zen,2002,60000,Petrol,Manual,Third,17.3,993,60.0,5,55000
261,Maruti Swift,2018,31025,Diesel,Manual,First,28.4,1248,74.0,5,715000
262,Mahindra Scorpio,2013,105000,Diesel,Manual,Second,12.05,2179,120.0,8,700000
263,Tata Zest,2017,121900,Diesel,Manual,First,22.95,1248,74.0,5,375000
264,Ford EcoSport,2017,22695,Petrol,Manual,First,18.88,999,123.24,5,850000
265,Maruti Swift,2012,73000,Diesel,Manual,First,23.4,1248,74.0,5,434999
266,Maruti Alto,2016,32227,Petrol,Manual,First,22.74,796,47.3,5,326000
267,Honda City,2011,55000,Petrol,Manual,First,17.0,1497,118.0,5,421000
268,Audi Q7,2018,11287,Diesel,Automatic,First,12.07,2967,241.4,7,7036000
269,Skoda Laura,2009,48000,Diesel,Automatic,Second,17.0,1896,105.0,5,295000
270,Hyundai Verna,2012,54308,Petrol,Manual,First,17.1,1591,121.3,5,428000
271,Honda City,2009,78442,Petrol,Automatic,First,16.8,1497,118.0,5,357000
272,Hyundai i20,2013,46000,Diesel,Manual,First,21.9,1396,88.8,5,311000
273,Hyundai i20,2014,45051,Petrol,Automatic,First,15.0,1396,98.6,5,596000
274,Volkswagen Vento,2011,69000,Diesel,Manual,First,20.54,1598,103.6,5,470000
275,Honda City,2014,49000,Petrol,Manual,First,17.4,1497,117.3,5,690000
276,Tata Zest,2018,45000,Diesel,Manual,First,22.95,1248,74.0,5,525000
277,BMW 5,2015,64000,Diesel,Automatic,First,18.48,1995,177.0,5,2800000
278,Maruti Wagon,2009,60000,Petrol,Manual,First,18.9,1061,67.0,5,135000
279,Honda Jazz,2015,62178,Petrol,Manual,First,18.2,1199,88.7,5,484999
280,Volkswagen Jetta,2012,58006,Diesel,Manual,First,15.0,1896,105.0,5,670000
281,Hyundai i10,2010,74000,Petrol,Manual,First,20.36,1197,78.9,5,310000
282,Mercedes-Benz New,2015,77771,Diesel,Automatic,First,19.27,2143,170.0,5,1864000
283,Hyundai i10,2012,45275,Petrol,Manual,First,20.36,1197,78.9,5,280000
284,Toyota Innova,2016,48000,Diesel,Manual,First,13.68,2393,147.8,7,2025000
285,Audi A6,2015,31652,Diesel,Automatic,First,17.68,1968,174.33,5,2678000
286,Toyota Innova,2010,109000,Diesel,Manual,Second,12.99,2494,100.6,7,826000
287,Volkswagen Polo,2015,31978,Petrol,Manual,First,16.47,1198,73.9,5,389000
288,Maruti Alto,2011,70000,Petrol,Manual,First,20.92,998,67.1,5,210000
289,Honda City,2017,15000,Petrol,Automatic,First,18.0,1497,117.3,5,1269000
290,Tata Indigo,2013,59138,Diesel,Manual,First,17.0,1405,70.0,5,258000
291,Audi A6,2014,61726,Diesel,Automatic,First,17.68,1968,174.33,5,2077000
292,Mercedes-Benz GLA,2015,48000,Diesel,Automatic,First,17.9,2143,136.0,5,2026000
293,Maruti Celerio,2014,77815,Petrol,Automatic,First,23.1,998,67.04,5,425000
294,Mercedes-Benz GLE,2017,29000,Diesel,Automatic,First,17.9,2143,201.15,5,5700000
295,Land Rover,2017,44000,Diesel,Automatic,First,12.7,2179,187.7,5,4400000
296,Volkswagen Vento,2011,108626,Diesel,Manual,First,20.54,1598,103.6,5,365000
297,Maruti Omni,2012,71791,Petrol,Manual,First,14.0,796,35.0,5,204999
298,Honda Brio,2012,91931,Petrol,Manual,First,18.5,1198,86.8,5,313000
299,Tata Sumo,2000,158000,Diesel,Manual,Second,14.07,2956,83.1,7,150000
300,Tata Indica,2012,91183,Diesel,Manual,First,18.0,1248,75.0,5,285000
301,Maruti Wagon,2012,65000,Petrol,Manual,First,18.9,998,67.1,5,265000
302,Mahindra XUV500,2015,88428,Diesel,Manual,First,16.0,2179,140.0,7,1060000
303,Tata Indigo,2008,138000,Diesel,Manual,Second,17.1,1396,70.0,5,125000
304,Maruti Ertiga,2018,18000,Petrol,Manual,First,16.02,1373,93.7,7,825000
305,Honda Accord,2011,60000,Petrol,Automatic,First,11.7,2354,177.6,5,445000
306,Maruti Swift,2012,48000,Diesel,Manual,First,19.3,1248,73.9,5,370000
307,Ford Fiesta,2009,160000,Diesel,Manual,First,17.8,1399,68.0,5,280000
308,Honda City,2008,40000,Petrol,Manual,First,17.7,1497,78.0,5,180000
309,Audi A6,2014,51495,Diesel,Automatic,First,17.68,1968,174.33,5,2195000
310,BMW 6,2011,30000,Diesel,Automatic,First,9.52,2993,313.0,4,4900000
311,Audi Q7,2017,97430,Diesel,Automatic,First,14.75,2967,245.0,7,6267000
312,Maruti Zen,2008,42496,CNG,Manual,First,26.3,998,67.1,5,140000
313,Hyundai i20,2012,83000,Diesel,Manual,First,23.0,1396,90.0,5,550000
314,Hyundai i10,2009,37000,Petrol,Automatic,Third,16.95,1197,78.9,5,295000
