,size,total_sqft,bath,balcony,price,site_location
159,4,3750,4,0,76000000,Navi Peth
160,3,1350,2,3,4800000,Padmavati
161,2,1063,2,1,3200000,Parvati Darshan
162,3,1904,3,1,15000000,Pashan
163,4,4200,4,2,42000000,Paud Road
164,3,2000,3,1,17500000,Pirangut
165,2,1145,2,0,4349000,Prabhat Road
166,3,1425,2,2,7500000,Pune Railway
167,3,1500,2,1,6450000,Rasta Peth
168,2,1060,2,1,6000000,Raviwar Peth
169,3,1470,2,2,7000000,Sadashiv Peth
170,6,1300,6,0,9900000,Sahakar Nagar
171,1,450,1,1,1100000,Salunke Vihar
172,2,1152,2,1,6450000,Sasson Road
173,3,1350,2,1,5600000,Satara Road
174,3,1550,3,3,6500000,Senapati Bapat
175,3,1500,3,2,10000000,Shaniwar Peth
176,5,600,3,2,8500000,Shivaji Nagar
177,1,400,1,0,1400000,Shukrawar Peth
178,1,705,1,2,6700000,Sinhagad Road
179,2,770,1,1,3600000,Somwar Peth
180,2,1242,2,3,5100000,Swargate
181,3,1700,3,2,15500000,Tilak Road
182,3,2144,3,2,14500000,Uruli Devachi
183,3,1704,3,2,11000000,Vadgaon Budruk
184,2,1070,2,1,5200000,Wadgaon Sheri
185,3,1846,3,2,30000000,Viman Nagar
186,2,1340,2,2,5570000,Vishrant Wadi
187,2,1025,2,1,4600000,Wagholi
188,2,1015,2,0,5680000,Wakadewadi
189,2,1200,2,2,5200000,Wanowrie
190,4,2250,4,1,11000000,Warje
191,3,1550,2,3,8000000,Yerawada
193,7,1800,7,1,25000000,Ambegaon Budruk
194,2,1200,2,2,6000000,Anandnagar
195,2,1327,2,2,9800000,Aundh
196,2,1186,2,2,5800000,Aundh Road
197,3,1783,3,1,11500000,Balaji Nagar
198,3,1400,3,2,5600000,Baner
199,2,980,2,1,4800000,Baner road
200,2,1285,2,2,8200000,Bhandarkar Road
201,3,912,2,1,7000000,Bhavani Peth
202,2,1225,2,2,4760000,Bibvewadi
203,2,1075,2,1,5300000,Bopodi
204,3,1260,2,2,5400000,Budhwar Peth
205,3,1282,2,2,4870000,Bund Garden
206,3,1909,3,2,8800000,Camp
207,2,1359,2,1,8700000,Chandan Nagar
208,2,1207,2,2,4350000,Dapodi
209,4,1736,6,0,19000000,Deccan Gymkhana
210,4,2850,4,1,42800000,Dehu Road
211,3,1595,3,2,6500000,Dhankawadi
212,3,1798,3,2,8900000,Dhayari Phata
213,3,1475,3,2,7829000,Dhole Patil
214,3,1580,3,3,10000000,Erandwane
215,2,1295,2,1,6500000,Fatima Nagar
216,6,3600,6,0,14100000,Fergusson College
217,1,589,1,1,2700000,Ganesh Peth
218,3,1415,3,3,7800000,Ganeshkhind
219,3,1787,3,2,9829000,Ghorpade Peth
220,3,1787,3,2,12500000,Ghorpadi
221,3,1475,2,3,9000000,Gokhale Nagar
222,4,2000,4,1,7550000,Gultekdi
223,2,984,2,1,4428000,Guruwar peth
225,3,2405,4,2,26000000,Hadapsar Industrial
226,2,1080,2,2,7200000,Hingne Khurd
227,2,1500,2,1,11500000,Jangali Maharaj
228,3,1900,3,2,11900000,Kalyani Nagar
229,2,805,2,1,2214000,Karve Nagar
230,2,1153,2,2,5640000,Karve Road
231,2,1148,2,2,6000000,Kasba Peth
232,2,1110,2,2,5500000,Katraj
233,2,1100,2,2,4200000,Khadaki
234,2,1290,2,2,11000000,Khadki
235,3,1500,2,1,6500000,Kharadi
236,2,1080,2,2,3900000,Kondhwa
237,3,1933,3,1,12900000,Kondhwa Budruk
238,5,3500,5,2,15000000,Kondhwa Khurd
239,2,1060,2,2,6000000,Koregaon Park
240,1,645,1,1,1645000,Kothrud
241,8,2600,8,2,18000000,Law College
242,1,645,1,1,1645000,Laxmi Road
243,3,1644,3,3,8400000,Lulla Nagar
244,2,1285,2,3,7250000,Mahatma Gandhi
245,3,1200,3,1,9000000,Mangalwar peth
246,2,910,2,1,4000000,Manik Bagh
247,3,1577,3,1,7000000,Market yard
248,3,4050,3,2,28000000,Model colony
249,3,2420,3,2,18500000,Mukund Nagar
250,2,800,1,1,2000000,Mundhawa
251,2,1060,2,2,5500000,Nagar Road
252,2,1270,2,2,9300000,Nana Peth
253,2,900,2,2,2250000,Narayan Peth
254,2,1280,2,1,6900000,Narayangaon
255,4,1200,2,0,9500000,Navi Peth
256,2,1025,2,2,3600000,Padmavati
257,2,1108,2,1,6300000,Parvati Darshan
259,3,3045,3,2,17000000,Paud Road
260,4,2900,3,2,30000000,Pirangut
261,3,1500,3,2,7550000,Prabhat Road
262,2,1295,2,2,4390000,Pune Railway
263,2,1162,2,1,5990000,Rasta Peth
264,2,1035,2,2,4920000,Raviwar Peth
265,4,1600,4,0,5280000,Sadashiv Peth
266,3,1464,3,2,4600000,Sahakar Nagar
267,3,1866,2,2,6158000,Salunke Vihar
268,2,700,1,1,2600000,Sasson Road
269,3,1804,3,2,12000000,Satara Road
270,2,913,2,1,3200000,Senapati Bapat
271,3,1868,3,2,13100000,Shaniwar Peth
272,2,883,2,1,4500000,Shivaji Nagar
273,2,900,2,1,11000000,Shukrawar Peth
274,3,1664,2,3,7395000,Sinhagad Road
275,3,2026,3,2,13200000,Somwar Peth
276,2,1210,2,1,8090000,Swargate
277,4,4111,4,2,25000000,Tilak Road
278,3,1762,3,3,9145000,Uruli Devachi
279,3,1252,3,3,5500000,Vadgaon Budruk
280,2,861,2,1,3450000,Wadgaon Sheri
281,3,1420,2,1,10000000,Viman Nagar
282,6,1450,6,0,25000000,Vishrant Wadi
283,3,1490,3,1,7880000,Wagholi
284,3,1075,2,1,4600000,Wakadewadi
285,3,1425,2,2,9400000,Wanowrie
286,2,1200,2,1,4000000,Warje
287,3,1280,2,2,5600000,Yerawada
288,2,1084,2,2,5000000,Alandi Road
289,2,1015,2,2,2588000,Ambegaon Budruk
290,2,1017,2,1,5125000,Anandnagar
291,2,1027,2,2,4400000,Aundh
292,2,1069,2,2,4500000,Aundh Road
293,2,1349,2,1,9820000,Balaji Nagar
294,2,1005,2,1,5000000,Baner
295,2,1417,2,3,7500000,Baner road
296,3,1475,3,1,9800000,Bhandarkar Road
297,2,950,2,2,4700000,Bhavani Peth
298,4,2000,4,0,12000000,Bibvewadi
299,3,880,3,1,14000000,Bopodi
300,4,1863,3,2,10400000,Budhwar Peth
301,2,1010,2,1,2950000,Bund Garden
302,3,1425,2,1,7000000,Camp
303,3,1450,3,0,10000000,Chandan Nagar
304,3,1847,3,2,10500000,Dapodi
305,2,1100,2,3,4500000,Deccan Gymkhana
306,1,525,1,1,2600000,Dehu Road
307,3,1665,3,2,9500000,Dhankawadi
308,4,1664,4,3,6500000,Dhayari Phata
309,3,1850,3,3,15000000,Dhole Patil
310,2,1438,2,3,10000000,Erandwane
311,3,1560,3,3,11500000,Fatima Nagar
312,2,1350,2,1,5555000,Fergusson College
313,3,1550,3,3,6700000,Ganesh Peth
314,2,1140,2,2,4650000,Ganeshkhind
315,5,1200,5,2,18000000,Ghorpade Peth
316,2,850,2,2,2700000,Ghorpadi
317,2,1280,2,2,7500000,Gokhale Nagar
318,2,1170,2,2,5200000,Gultekdi
319,2,1113,2,1,5100000,Guruwar peth
320,2,1385,2,1,8309000,Hadapsar
321,2,1128,2,1,6500000,Hadapsar Industrial
322,2,1200,2,2,12800000,Hingne Khurd
323,4,1200,4,3,16500000,Jangali Maharaj
324,3,2390,3,2,41500000,Kalyani Nagar
325,4,2400,4,1,40000000,Karve Nagar
326,3,1464,3,2,5600000,Karve Road
327,2,1200,2,2,5500000,Kasba Peth
328,2,1200,2,2,5200000,Katraj
329,3,1150,2,1,5500000,Khadaki
330,3,1645,3,2,9500000,Khadki
331,2,1000,2,1,6700000,Kharadi
332,4,2650,4,2,19800000,Kondhwa
333,2,1192,2,2,7400000,Kondhwa Budruk
334,3,2135,3,2,21500000,Kondhwa Khurd
335,2,1173,2,1,5800000,Koregaon Park
336,2,1020,2,2,4500000,Kothrud
337,4,3122,6,2,23000000,Law College
338,3,1600,3,3,6400000,Laxmi Road
339,2,1200,2,0,7900000,Lulla Nagar
340,2,1230,2,3,4800000,Mahatma Gandhi
341,2,1250,2,2,4000000,Mangalwar peth
342,2,1325,2,2,7600000,Manik Bagh
343,3,1850,3,1,15000000,Market yard
345,2,1200,2,2,6500000,Mukund Nagar
346,3,1350,2,0,14000000,Mundhawa
347,3,1260,3,1,4936000,Nagar Road
348,3,1800,3,0,15000000,Nana Peth
349,3,11,3,2,7400000,Narayan Peth
350,2,1100,2,1,4325000,Narayangaon
351,2,1508,2,1,7700000,Navi Peth
352,3,1592,3,2,7500000,Padmavati
353,2,1388,2,3,5700000,Parvati Darshan
354,1,630,1,1,2835000,Pashan
355,3,2000,3,2,36500000,Paud Road
356,3,1762,3,1,12500000,Pirangut
357,2,950,2,2,5000000,Prabhat Road
358,4,3252,5,3,33500000,Pune Railway
359,2,1116,2,1,5000000,Rasta Peth
360,2,1308,2,2,8904000,Raviwar Peth
361,3,1200,3,0,9000000,Sadashiv Peth
362,4,1500,4,2,23000000,Sahakar Nagar
363,1,500,1,1,1850000,Salunke Vihar
364,2,1075,2,1,5200000,Sasson Road
365,1,530,1,0,1166000,Satara Road
366,2,1205,2,3,6600000,Senapati Bapat
367,2,1075,2,2,6000000,Shaniwar Peth
368,2,930,2,2,3900000,Shivaji Nagar
369,2,1380,2,1,6000000,Shukrawar Peth
370,4,2483,5,2,21200000,Sinhagad Road
371,2,1166,2,2,5500000,Somwar Peth
372,2,1050,2,1,6500000,Swargate
374,2,1200,2,2,4680000,Uruli Devachi
375,3,1600,2,1,10800000,Vadgaon Budruk
376,3,1935,3,2,11000000,Wadgaon Sheri
377,1,451,1,0,2990000,Viman Nagar
378,3,1800,3,2,9500000,Vishrant Wadi
379,3,1400,3,0,7700000,Wagholi
380,3,1801,3,2,11500000,Wakadewadi
382,2,1200,1,1,3600000,Warje
383,2,1160,2,2,4400000,Yerawada
384,2,1000,2,1,2500000,Alandi Road
385,2,950,2,1,4000000,Ambegaon Budruk
386,3,1629,3,2,7900000,Anandnagar
387,3,1580,2,0,13400000,Aundh
388,3,1826,3,2,12100000,Aundh Road
389,2,1245,2,1,9400000,Balaji Nagar
390,2,1145,2,2,4579000,Baner
391,2,825,2,1,3300000,Baner road
392,3,1693,3,3,10800000,Bhandarkar Road
394,2,1460,2,1,5800000,Bibvewadi
395,2,1050,2,1,3200000,Bopodi
396,2,1260,2,2,5500000,Budhwar Peth
398,2,1656,2,1,12000000,Camp
399,3,1208,3,1,4500000,Chandan Nagar
400,3,1910,3,2,16100000,Dapodi
401,4,3252,4,1,23000000,Deccan Gymkhana
402,2,1200,2,1,6500000,Dehu Road
403,4,1200,4,1,17500000,Dhankawadi
404,2,1175,2,1,8200000,Dhayari Phata
405,2,1000,2,0,16500000,Dhole Patil
406,4,1200,2,0,12500000,Erandwane
407,3,2390,3,2,41000000,Fatima Nagar
408,7,12000,6,3,220000000,Fergusson College
409,2,550,1,1,6200000,Ganesh Peth
412,2,750,2,1,3800000,Ghorpadi
413,6,1200,7,3,25000000,Gokhale Nagar
414,3,1550,3,3,6450000,Gultekdi
415,3,1760,3,2,8800000,Guruwar peth
416,2,1125,2,2,6200000,Hadapsar
417,3,1350,3,2,15000000,Hadapsar Industrial
418,2,1000,2,1,5500000,Hingne Khurd
419,2,1090,2,2,3148000,Jangali Maharaj
420,2,1200,2,0,6000000,Kalyani Nagar
421,3,1991,4,2,10300000,Karve Nagar
422,2,1060,2,1,2650000,Karve Road
423,2,1105,2,1,7500000,Kasba Peth
424,2,985,2,2,6700000,Katraj
425,6,1533,5,3,8500000,Khadaki
426,3,1590,3,2,7900000,Khadki
427,2,1120,2,2,5500000,Kharadi
428,2,1069,2,1,5500000,Kondhwa
429,3,1933,3,2,14000000,Kondhwa Budruk
430,2,1194,2,0,6900000,Kondhwa Khurd
431,2,1150,2,3,6900000,Koregaon Park
432,2,1240,2,2,4712000,Kothrud
433,2,1419,2,2,4810000,Law College
436,3,1450,3,2,5500000,Mahatma Gandhi
437,3,1630,3,2,6829000,Mangalwar peth
438,2,708,1,1,4000000,Manik Bagh
439,3,1000,4,3,11000000,Market yard
440,4,11890,4,3,70000000,Model colony
441,2,1250,2,1,7600000,Mukund Nagar
442,3,1400,2,1,9500000,Mundhawa
443,3,1670,2,3,5700000,Nagar Road
444,3,1750,3,2,10000000,Nana Peth
445,2,1404,2,1,7100000,Narayan Peth
446,3,1715,2,2,9500000,Narayangaon
447,1,630,1,1,3465000,Navi Peth
449,3,1650,3,2,7800000,Parvati Darshan
450,2,1295,2,1,5547000,Pashan
451,3,1800,3,2,25200000,Paud Road
452,2,1346,2,1,7403000,Pirangut
453,4,1200,4,2,20000000,Prabhat Road
454,2,1150,2,2,5500000,Pune Railway
455,4,3309,4,3,32500000,Rasta Peth
456,3,1190,2,2,3035000,Raviwar Peth
457,3,1620,3,2,9800000,Sadashiv Peth
458,2,950,2,1,4696000,Sahakar Nagar
459,11,5000,9,3,36000000,Salunke Vihar
460,3,2450,3,0,12000000,Sasson Road
461,3,1220,2,1,3522999,Satara Road
462,2,850,2,1,3000000,Senapati Bapat
463,2,1020,2,2,6300000,Shaniwar Peth
464,2,1100,2,2,5000000,Shivaji Nagar
465,2,1150,2,2,12600000,Shukrawar Peth
466,3,1760,2,2,13000000,Sinhagad Road
467,3,1800,3,3,11000000,Somwar Peth
468,2,1070,2,1,5400000,Swargate
469,4,1500,4,2,22000000,Tilak Road
470,2,1440,2,0,9500000,Uruli Devachi
471,2,900,2,1,4000000,Vadgaon Budruk
472,4,1200,4,1,23000000,Wadgaon Sheri
473,2,1130,2,1,4216000,Viman Nagar
474,2,1320,2,1,16500000,Vishrant Wadi
475,2,1270,2,1,9800000,Wagholi
476,2,1200,2,1,6200000,Wakadewadi
478,2,1200,2,1,7400000,Warje
479,2,929,2,0,5017000,Yerawada
480,4,1150,4,2,26000000,Alandi Road
481,4,1125,4,3,18000000,Ambegaon Budruk
482,5,500,3,2,6500000,Anandnagar
483,5,1200,5,2,19000000,Aundh
484,3,1464,3,2,5600000,Aundh Road
485,4,3600,4,3,40000000,Balaji Nagar
486,4,2000,4,2,9900000,Baner
487,2,1208,2,1,4900000,Baner road
488,2,1130,2,2,6000000,Bhandarkar Road
489,3,1753,3,2,12000000,Bhavani Peth
490,5,4500,7,3,33700000,Bibvewadi
491,3,600,3,2,5800000,Bopodi
492,2,1196,2,2,9442000,Budhwar Peth
493,2,1150,3,3,5250000,Bund Garden
494,2,1128,2,1,6300000,Camp
495,2,1000,2,1,5300000,Chandan Nagar
496,2,1035,2,1,4500000,Dapodi
497,2,950,2,1,3200000,Deccan Gymkhana
498,3,1075,2,1,3600000,Dehu Road
499,2,1040,2,1,4850000,Dhankawadi
500,2,720,2,1,4500000,Dhayari Phata
501,3,1511,3,1,9500000,Dhole Patil
502,3,1300,3,1,5800000,Erandwane
503,3,1545,3,1,6875000,Fatima Nagar
504,1,375,2,0,2600000,Fergusson College
505,2,1062,2,3,3800000,Ganesh Peth
506,2,1115,2,1,4000000,Ganeshkhind
507,2,1000,2,1,3500000,Ghorpade Peth
508,2,883,2,1,4500000,Ghorpadi
509,2,1195,2,1,7000000,Gokhale Nagar
510,4,1200,3,1,16500000,Gultekdi
511,1,700,1,0,4100000,Guruwar peth
512,2,1246,2,1,6700000,Hadapsar
513,4,660,4,2,9000000,Hadapsar Industrial
514,4,8500,4,2,14500000,Hingne Khurd
515,4,1600,4,1,8000000,Jangali Maharaj
516,4,2805,5,3,15400000,Kalyani Nagar
518,4,3000,5,1,27500000,Karve Road
519,3,1175,2,2,4800000,Kasba Peth
520,3,1595,3,2,11500000,Katraj
521,2,1353,2,2,11000000,Khadaki
522,3,1599,3,2,12500000,Khadki
523,2,1150,2,1,7000000,Kharadi
524,4,5230,6,1,46500000,Kondhwa
525,2,1155,2,2,4274000,Kondhwa Budruk
526,1,1200,2,0,8500000,Kondhwa Khurd
527,2,1000,2,1,2500000,Koregaon Park
529,3,1867,3,1,16000000,Law College
530,2,1251,2,1,4700000,Laxmi Road
531,2,1028,2,1,4550000,Lulla Nagar
532,2,1222,2,2,4500000,Mahatma Gandhi
533,3,1170,2,1,6600000,Mangalwar peth
534,3,2400,4,1,24500000,Manik Bagh
535,3,1385,2,2,4848000,Market yard
536,2,1372,2,1,6800000,Model colony
537,3,1282,2,2,4900000,Mukund Nagar
538,9,5000,9,3,21000000,Mundhawa
539,5,3000,3,1,52800000,Nagar Road
540,2,1135,2,1,3972999,Nana Peth
541,3,1768,3,2,10100000,Narayan Peth
542,3,1325,2,1,9000000,Narayangaon
543,3,1599,3,2,9900000,Navi Peth
544,3,1500,3,1,6195000,Padmavati
545,3,2610,3,0,49900000,Parvati Darshan
546,2,1286,2,2,6300000,Pashan
547,5,2845,5,1,14000000,Paud Road
549,2,1195,2,0,6377000,Prabhat Road
550,3,3450,5,2,26000000,Pune Railway
551,2,1102,2,2,5367000,Rasta Peth
552,2,1350,2,2,5400000,Raviwar Peth
553,3,1200,2,2,4200000,Sadashiv Peth
554,6,1300,6,0,14500000,Sahakar Nagar
555,2,1800,1,1,8000000,Salunke Vihar
556,2,950,2,1,4000000,Sasson Road
557,1,525,1,1,2725000,Satara Road
558,2,656,2,1,2500000,Senapati Bapat
559,4,1780,4,3,17500000,Shaniwar Peth
560,2,1056,2,1,8000000,Shivaji Nagar
561,1,595,1,1,3332000,Shukrawar Peth
562,2,1080,2,2,5000000,Sinhagad Road
563,3,2225,3,1,16000000,Somwar Peth
564,2,1126,2,1,2815000,Swargate
565,3,1490,3,1,8400000,Tilak Road
566,4,2000,4,1,30000000,Uruli Devachi
567,3,1550,3,3,10000000,Vadgaon Budruk
568,3,1600,3,2,8600000,Wadgaon Sheri
569,2,1160,2,1,5500000,Viman Nagar
570,4,4144,4,3,31500000,Vishrant Wadi
571,3,2100,3,2,12500000,Wagholi
572,2,1404,2,1,6930000,Wakadewadi
573,4,2230,4,3,22500000,Wanowrie
575,3,1305,2,1,5870000,Yerawada
576,2,1230,2,2,8000000,Alandi Road
577,2,1200,2,0,6500000,Ambegaon Budruk
578,3,1460,3,1,7300000,Anandnagar
580,2,967,2,3,4500000,Aundh Road
581,1,540,1,1,3600000,Balaji Nagar
582,1,715,1,2,4600000,Baner
583,3,2500,3,2,31300000,Baner road
584,3,1578,3,1,18000000,Bhandarkar Road
585,2,1020,2,1,4895000,Bhavani Peth
586,2,1020,2,1,4000000,Bibvewadi
587,2,1253,2,1,10200000,Bopodi
588,2,1180,2,2,4200000,Budhwar Peth
589,2,961,2,2,3800000,Bund Garden
590,3,1419,3,3,7500000,Camp
591,3,1709,3,2,15000000,Chandan Nagar
592,2,1600,2,0,11500000,Dapodi
593,1,416,1,1,1850000,Deccan Gymkhana
594,2,1100,2,2,9800000,Dehu Road
595,3,1430,2,1,6500000,Dhankawadi
596,2,1260,2,2,4500000,Dhayari Phata
597,3,1630,3,2,8500000,Dhole Patil
598,3,1249,3,2,4471000,Erandwane
599,3,1450,2,3,8500000,Fatima Nagar
600,3,2791,3,1,22300000,Fergusson College
601,1,600,1,0,9000000,Ganesh Peth
602,1,834,1,1,6000000,Ganeshkhind
603,3,1125,4,1,7000000,Ghorpade Peth
604,3,2060,3,2,14000000,Ghorpadi
605,7,12000,7,3,220000000,Gokhale Nagar
606,2,891,2,1,2500000,Gultekdi
607,2,1133,2,1,4907000,Guruwar peth
608,3,1075,2,1,3700000,Hadapsar
609,4,3000,5,2,26000000,Hadapsar Industrial
610,4,2440,5,2,42500000,Hingne Khurd
611,2,1200,2,2,5500000,Jangali Maharaj
612,2,1075,2,2,4580000,Kalyani Nagar
613,2,1140,2,2,4000000,Karve Nagar
614,5,940,4,2,15000000,Karve Road
615,6,2160,5,1,25000000,Kasba Peth
616,2,1090,2,1,4200000,Katraj
617,4,1500,4,1,7000000,Khadaki
618,4,4104,4,2,36000000,Khadki
620,3,1920,3,2,13400000,Kondhwa
621,2,1374,2,2,9500000,Kondhwa Budruk
622,3,1445,3,2,9500000,Kondhwa Khurd
623,1,711,1,1,3600000,Koregaon Park
624,3,1500,3,3,9500000,Kothrud
625,3,1720,3,3,10000000,Law College
626,3,1400,3,2,6000000,Laxmi Road
627,2,1030,2,2,4900000,Lulla Nagar
628,2,1200,2,1,8500000,Mahatma Gandhi
629,3,1375,3,2,7000000,Mangalwar peth
631,3,2250,3,2,16000000,Market yard
632,2,1000,2,2,5000000,Model colony
633,1,469,1,0,2500000,Mukund Nagar
634,4,3800,4,3,25000000,Mundhawa
635,2,883,2,1,2900000,Nagar Road
636,3,1820,2,3,8600000,Nana Peth
637,3,1440,2,3,6500000,Narayan Peth
638,6,3600,4,1,16000000,Narayangaon
639,4,2500,5,2,32500000,Navi Peth
640,2,1225,2,2,4800000,Padmavati
641,3,4000,3,1,66000000,Parvati Darshan
642,2,875,2,3,5280000,Pashan
643,1,750,1,2,4000000,Paud Road
644,2,1180,2,3,8000000,Pirangut
645,2,1194,2,2,4700000,Prabhat Road
646,3,1500,2,2,6200000,Pune Railway
647,2,1160,2,2,5220000,Rasta Peth
649,3,2378,3,1,26200000,Sadashiv Peth
650,2,1128,2,1,6000000,Sahakar Nagar
651,3,1500,3,1,15000000,Salunke Vihar
